ក	ka
កង្រៀតកង្ក្រង	kangrietkangkrng
កង្វក់	kangvk
កង្វល់	kangvl
កង្វាក់	kangveak
កង្វារ	kangvear
កង្វារកង្កែប	kangvearkangkaeb
កង្វារក្ដាម	kangvearkdam
កង្វារក្តាម	kangvearktam
កង្វារត្រចៀក	kangveartrchiek
កង្វាល	kangveal
កង្វាវ	kangveav
កង្វិន	kangvin
កង្វៀច	kangviech
កង្វេរ	kangver
កង្វែល	kangveael
កង្វះ	kangveah
កង្វះខាត	kangveahkhat
កង្សែរ	kangsaer
កង្ហរ	kanghr
កង្ហារ	kanghar
កង្ហារបក់	kangharbak
កង្ហារយន្ត	kangharyont
កង្ហារវិល	kangharvil
កង្ហិច	kanghech
កង្ហិត	kanghet
កង្ហែ	kanghae
កង្ហែកង្ហល់	kanghaeknghl
កង្ហែន	kanghaen
កច	kach
កចេតិយ	kachetey
កច្ចបសត្វ	kachchbasatv
កច្ចាយន	kachchayn
កច្ចាយនត្ថេរ	kachchaynotther
កច្ចាយនូបត្ថម្ភកៈ	kachchaynubtthmphkak
កច្ចាយនៈ	kachchayneak
កច្ឆៈ	kachchhak
កជា	kachea
កជើង	kacheung
កញ	kanh
កញឆល	kanhochhal
កញ្ចក	kanhchk
កញ្ចក់	kanhchk
កញ្ចក់កញ្ចែង	kanhchkknhchaeng
កញ្ចក់គ្រាត	kanhchkkreat
កញ្ចក់ឆ្លុះ	kanhchkchhluh
កញ្ចក់ប៉ូលកម្ម	kanhchkbulkamm
កញ្ចក់ភ្នែក	kanhchkphneaek
កញ្ចក់វ៉ែនតា	kanhchkveaenta
កញ្ចក់ឡាន	kanhchklan
កញ្ចង	kanhchng
កញ្ចនៈ	kanhchneak
កញ្ចប់	kanhchb
កញ្ចប់កញ្ចូវ	kanhchbknhchouv
កញ្ចប់កញ្ជួ	kanhchbknhchuo
កញ្ចប់ធាតុ	kanhchbtheato
កញ្ចប់បារី	kanhchbbari
កញ្ចប់មាត់	kanhchbmoat
កញ្ចាញ់	kanhchanh
កញ្ចាញ់ចេក	kanhchanhchek
កញ្ចាញ់ច្រាស	kanhchanhchreas
កញ្ចាត	kanhchat
កញ្ចាម	kanhcham
កញ្ចាស់	kanhchas
កញ្ចាំង	kanhchang
កញ្ចឹង	kanhchoeng
កញ្ចឹងក	kanhchoengk
កញ្ចុប	kanhchob
កញ្ចុបកញ្ចូវ	kanhchobkanhchouv
កញ្ចុំ	kanhchom
កញ្ចុះ	kanhchoh
កញ្ចុះក្ដោង	kanhchohkdaong
កញ្ចុះក្តោង	kanhchohktaong
កញ្ចុះឆ្នូត	kanhchohchhnut
កញ្ចុះថ្ម	kanhchohthm
កញ្ចុះធ្នូត	kanhchohthnut
កញ្ចូញ	kanhchounh
កញ្ចូញគូថ	kanhchounhkuth
កញ្ចូញមាន់	kanhchounhmean
កញ្ចូរ	kanhchour
កញ្ចូវ	kanhchouv
កញ្ចែ	kanhchae
កញ្ចែក	kanhchaek
កញ្ចែកប៉ាល់	kanhchaekbeal
កញ្ចែត្រុំ	kanhchaetrum
កញ្ចោង	kanhchaong
កញ្ចោត	kanhchaot
កញ្ចោប	kanhchaob
កញ្ចោម	kanhchaom
កញ្ចំ	kanhcham
កញ្ច្រក	kanhchrk
កញ្ច្រង់	kanhchrng
កញ្ច្រាញ់	kanhchreanh
កញ្ច្រាស	kanhchreas
