ក	ka
បូណ៌	boun
បូណ៌មី	bounmi
បូត	bout
បូតច្រមុះ	boutchrmuh
បូតឆ្អឹងត្រី	boutchhaoengtri
បូតពុកមាត់	boutpukmoat
បូតសណ្ដែក	boutsandaek
បូតស្លឹកឈើ	boutsluekchheu
បូតិកា	bouteka
បូតិកាយ	boutekay
បូតិគន្ធ	bouteknth
បូតិប្រតិបក្ស	boutebrtebks
បូតិលតា	boutelta
បូទុម	boutum
បូប៊ីន	boubin
បូពា៌	boupea
បូពិត្រ	boupitr
បូព៌	boup
បូព៌ទិស	bouptis
បូព៌និមិត្ត	boupnimitt
បូព៌វិទេហទ្វីប	boupvitehtvib
បូព៌ា	boupea
បូម	boum
បូមកង់ឡាន	boumkanglan
បូមខ្យល់	boumkhyl
បូមឈាម	boumchheam
បូមទឹក	boumtuek
បូមលាមក	boumleamk
បូយ	bouy
បូយន	bouyn
បូរ	bour
បូរកៈ	bourkak
បូរដ្ឋាន	bourdthan
បូរណ	bourn
បូរណភាព	bournapheap
បូរណភាពទឹកដី	bournapheaptuekdei
បូរណភាពនៃដែនដីខ្មែរ	bournapheapneydaendeikhmeaer
បូរណសំខ្យា	bournasamkhyea
បូរណី	bournei
បូរណៈ	bournak
បូរបាច់	bourbach
បូរមី	bourmi
បូរាណ	bourean
បូរិបូណ៌	bouriboun
បូរី	bouri
បូរីជលសារ	bourichlosar
បូរីរម្យ	bourirmy
បូរូបូឌួ	bourubouduo
បូរេលីយូស៍	boureliyus
បូរ៉ា	bourea
បូល	boul
បូលកូន	boulkoun
បូលចំណាំ	boulchamnam
បូលតឹកកែ	boultoekkae
បូលត្រា	boultrea
បូលនឹងបៀ	boulnuengbie
បូលប្រណាក	boulbrnak
បូលីវី	boulivi
បូវដ្ឋាន	bouvdthan
បូវិទេហៈទ្វីប	bouvitehaktvib
បូវំ	bouvum
បូវ៌	bouv
បូវ៌កម៌ន៑	bouvkmn
បូវ៌ករណ	bouvkron
បូវ៌ការិន៑	bouvkarin
បូវ៌ក្ឫត្យ	bouvkruety
បូវ៌ចយា	bouvchyea
បូវ៌និវាស	bouvniveas
បូវ៌បទ	bouvbt
បូវ៌បុរុឞ	bouvboruss
បូវ៌ប្រយោគ	bouvbryouk
បូវ៌ប្រេត	bouvbret
បូវ៌ប្រេតពលិ	bouvbretpoli
បូវ៌ភាគប្រតិបទ៑	bouvpheakbrtebt
បូវ៌ា	bouvea
បូវ៌ាចាយ៌	bouveachay
បូវ៌ាណ្ហ	bouveanh
បូវ៌ាណ្ហសមយ	bouveanhsamoy
បូវ៌ាសាឍ	bouveasath
បូវ៌ាសាឍា	bouveasathea
បូស	bous
បូសក្រពើ	bouskrpeu
បូសក្រលៀន	bouskrlien
បូសក្រាល	bouskreal
បូសខ្នុរ	bouskhnur
បូសទុំ	boustum
បូសទ្រនិច	boustrnich
បូសធំ	bousthum
បូសបម	bousbam
បូសផ្កាប់មុខ	bousphkabmukh
បូសស្វាយ	boussveay
បូស្នី	bousni
បូហ្គោតា	bouhkouta
បួ	buo
បួង	buong
បួងដៃ	buongdai
បួងប្រមោយ	buongbrmouy
បួងសក់	buongsak
បួងសួង	buongsuong
បួងស្រូវ	buongsruv
បួច	buoch
បួន	buon
បួនជ្រុង	buonchrung
បួនជ្រុងស្មើ	buonchrungsmeu
បួនដណ្ដប់	buondandb
បួនដប់	buondab
បួនមុខ	buonmukh
បួយ	buoy
បួរ	buor
បួរគោ	buorkou
បួរដី	buordei
បួល	buol
បួស	buos
បួសនេន	buosnen
បួសភិក្ខុ	buosphikkho
បួសមុខភ្លើង	buosmukhphleung
បួសសាមណេរ	buossamner
បើ	baeu
បើក	baeuk
បើកកប៉ាល់	baeukkabeal
បើកកាណូត	baeukkanout
បើកកុងតាក់	baeukkongtak
បើកកៀរ	baeukkier
បើកក្ដោង	baeukkdaong
បើកក្ដោងខាវខ្យល់	baeukkdaongkhavkhyl
បើកក្តោង	baeukktaong
បើកក្បួន	baeukkbuon
បើកគ្រប	baeukkrb
បើកចាក់	baeukchak
បើកចំហ	baeukchamh
បើកចំហចោល	baeukchamhchaol
បើកច្បាប់ឆ្លងដែន	baeukchbabchhlngodaen
បើកឆាក	baeukchhak
បើកដាក់	baeukdak
បើកដៃ	baeukdai
បើកថ្ងៃ	baeukthngey
បើកថ្ងៃព្រឹម	baeukthngeypruem
បើកទឹក	baeuktuek
បើកទូក	baeuktuk
បើកទូលាយ	baeuktuleay
បើកទ្វារ	baeuktvear
បើកបរ	baeukbar
បើកប្រាក់	baeukbreak
បើកប្រាក់ខែ	baeukbreakkhae
បើកផ្លូវ	baeukphluv
បើកពពារ	baeukpopear
បើកព្រះនេត	baeukpreahnet
បើកព្រះនេត្រ	baeukpreahnetr
បើកភ្នែក	baeukphneaek
បើកភ្នែកត្លែ	baeukphneaektleae
បើកភ្លើង	baeukphleung
បើកមុខ	baeukmukh
បើករថយន្ត	baeukrothayont
បើករបង	baeukrobang
បើកលុយ	baeukluy
បើកលុយឲ្យ	baeukluyaoy
បើកល្វែង	baeuklveaeng
បើកវាំងនន	baeukveangnon
បើកវិទ្យុ	baeukvityu
បើកវែក	baeukveaek
បើកសម័យ	baeuksamey
បើកសវនាការ	baeuksavoneakar
បើកសេរីភាព	baeukseripheap
បើកសោកាំភ្លើងកេះកៃ	baeuksaokamphleungkehkai
បើកហាង	baeukhang
បើកឡាន	baeuklan
បើកអំណាច	baeukaamnach
បើកឱកាស	baeukaookas
បើកឱកាសឲ្យ	baeukaookasaoy
បើកឲ្យ	baeukaoy
បើកឲ្យចូល	baeukaoychoul
បើកាលណា	baeukalna
បើកាលណាយូរទៅ	baeukalnayurtov
បើកុំតែ	baeukomtae
បើកុំប៉ុណ្ណោះ	baeukombunnaoh
បើក្រៅតែអំពី	baeukrovtaeaampi
បើជា	baeuchea
បើដូច្នេះ	baeudouchneh
បើដូច្នេះមែន	baeudouchnehmeaen
បើទុកជា	baeutukchea
បើនឹង	baeunueng
បើបានតែ	baeubantae
បើប្រសិន	baeubrsen
បើពុំនោះសោត	baeupumnuohsaot
បើមិនដូច្នោះទេ	baeumindouchnuohte
បើមិនទាន់	baeumintean
បើមិនទេសោត	baeumintesaot
បើមិនយូរក៏ឆាប់	baeuminyurkchhab
បើមិនអញ្ចឹងទេ	baeuminaanhchoengte
បើម្ល៉េះហើយ	baeumlehhaeuy
បើម្ល៉ោះសម	baeumluohsm
បើស	baeus
បើសិន	baeusen
បើសិនជា	baeusenchea
បើសិនណា	baeusenna
បើស្ត្រី	baeustri
បើស្រ្តី	baeusrtei
បើអញ្ចឹង	baeuanhchoeng
បឿន	boean
បៀ	bie
បៀក	biek
បៀកថ្នាំ	biekthnoam
បៀកម្លូ	biekmlu
បៀកស៊ីម៉ង់តិ៍	bieksimngte
បៀកស្លា	biekslea
បៀក្រដាស	biekrdas
បៀង	bieng
បៀត	biet
បៀតង	bietng
បៀតបៀន	bietbien
បៀតបៀនទន្ទ្រានទឹកដី	bietbientontreantuekdei
បៀតសៀត	bietsiet
បៀន	bien
បៀនីឡុង	bienilong
បៀបញ្ឆោត	biebnhchhaot
បៀបញ្ជោត	biebnhchout
បៀបារាំង	biebareang
បៀប៉ោ	biebou
បៀភ្លុក	biephluk
បៀម	biem
បៀមក្រួសបៀមថ្ម	biemkruosbiemthm
បៀមគ្រាប់	biemkreab
បៀមទឹក	biemtuek
បៀមទឹកថ្នាំ	biemtuekthnoam
បៀមទុក្ខ	biemtukkh
បៀមបារី	biembari
បៀមពាក្យ	biempeaky
បៀមពាក្យបៀមសម្ដី	biempeakybiemsamdei
បៀមពាក្យបៀមសំដី	biempeakybiemsamdei
បៀមសេចកី្ត	biemsechkeit
បៀមសេចក្ដី	biemsechkdei
បៀមស្លា	biemslea
បៀរ	bier
បៀរហ្គាឌិន	bierhkeadin
បៀលៀង	bielieng
បៀវត្ស	bievts
បៀវត្សណូមីណាល់	bievtsnouminal
បៀវត្សនាម	bievtsneam
បៀវត្សពិត	bievtspit
បៀវត្សរ៍	bievtsr
បៀវត្សអប្បបរិមា	bievtsaabbbarimea
បេ	be
បេការ៉ង់	bekarng
បេការ៉ង់អង	bekarngang
បេក្ខ	bekkh
បេក្ខជន	bekkhchon
បេក្ខនារី	bekkhneari
បេក្ខភាព	bekkhpheap
បេក្ខសមណៈ	bekkhsamonak
បេក្ខសេនីយ៍	bekkhseniy
បេក្ខៈ	bekkhak
បេក្ស	beks
បេង	beng
បេង័្គល	bengkl
បេញ	benh
បេញបូញ	benhbounh
បេញបូញបត់ដុំដៃ	benhbounhbatdomdai
បេដៃ	bedai
បេឌា	bedea
បេណរ៉េស	benres
បេណរ៉ែស	benreaes
បេណាំង	benang
បេត	bet
បេតលោក	betlouk
បេតវត្ថុ	betvottho
បេតា	beta
បេតិក	betek
បេតិកភណ្ឌ	betekphond
បេតី	betei
បេតុង	betong
បេតុងអារម៉េ	betongaarme
បេតុប្រទេស	betobrtes
បេត្តេយ្យកា	betteyyka
បេថ្លេហឹម	bethlehoem
បេថ្លេអេម	bethleaem
បេថ្លេអែម	bethleaaem
បេន	ben
បេនឡាន	benlan
បេម	bem
បេយ្យ	beyy
បេយ្យកៈ	beyykak
បេយ្យក៍	beyyk
បេយ្យាល	beyyeal
បេយ្យាលន័យ	beyyealney
បេយ្យាលៈ	beyyealeak
បេយ្យិកា	beyyika
បេរីល្យូម	berilyum
បេរីល្យ៉ូម	berilyum
បេលម៉ូប៉័ង	belmubng
បេលីហ្ស	belihs
បេសក	besk
បេសកកម្ម	beskakamm
បេសកកម្មទូត	beskakammtut
បេសកជន	beskachon
បេសកជនពិសេស	beskachonopises
បេសនកម្ម	besnokamm
បេសនីយ	besniy
បេសិត	beset
បេសិតកម្ម	besetkamm
បេសិតជន	besetchon
បេសែសិប	besaeseb
បេសែសិបមួយ	besaesebmuoy
បេឡា	bela
បេឡាករ	belakr
បេឡាធិការ	belathikar
បេឡាធិការិនី	belathikarini
បេឡាធិការី	belathikari
បេឡានិច័យ	belanichai
បេឡារុស្ស	belaruss
បេឡារូស	belarus
បេឡាសញ្ជ័យ	belasnhchey
បេឡាសោធន	belasaothn
បេះ	beh
បេះដូង	behdoung
បេះដូងធំ	behdoungthum
បេះបង់	behbng
បេះបិទ	behbet
បេះបិទគ្មានខុសគ្នា	behbetkmeankhosknea
បេះបួយ	behbuoy
បេះបួយចំពួយម្រោម	behbuoychampuoymroum
បេះបោច	behbaoch
បែ	bae
បែក	baek
បែកកង់	baekkang
បែកការ	baekkar
បែកកុក	baekkok
បែកក្បាល	baekkbal
បែកក្រុម	baekkrum
បែកខ្ជឹង	baekkhchueng
បែកខ្ញែក	baekkhnheaek
បែកខ្ទាំ	baekkhtoam
បែកខ្ទុះ	baekkhtuh
បែកខ្នែង	baekkhneaeng
បែកខ្មោច	baekkhmouch
បែកខ្សុយ	baekkhsoy
បែកគុម្ព	baekkump
បែកគំនិត	baekkumnit
បែកគ្នា	baekknea
បែកចាកគ្នា	baekchakknea
បែកចាន	baekchan
បែកចិត្ត	baekchett
បែកចេញ	baekchenh
បែកចែក	baekchaek
បែកចំណេះ	baekchamneh
បែកឆ្នាំង	baekchhneang
បែកឆ្វេង	baekchhveng
បែកជាកូនពូនជាចៅ	baekcheakounpuncheachau
បែកជាអូរហូរជាស្ទឹង	baekcheaaourhourcheastueng
បែកឈាម	baekchheam
បែកញើស	baeknheus
បែកញើសដាប	baeknheusdab
បែកញើសស្រាក់	baeknheussreak
បែកញើសហូរញើស	baeknheushournheus
បែកដំណេក	baekdamnek
បែកទឹកភ្លោះ	baektuekphluoh
បែកទៅជា	baektovchea
បែកទ្រូង	baektrung
បែកធ្លាយ	baekthleay
បែកបង់	baekbang
បែកបាក់	baekbak
បែកបាយ	baekbay
បែកប្រមាត់	baekbrmoat
បែកប្រាជ្ញ	baekbreachnh
បែកប្រាជ្ញា	baekbreachnhea
បែកផ្កាត្រែង	baekphkatreaeng
បែកផ្ទះ	baekphteah
បែកផ្លូវ	baekphluv
បែកផ្សែង	baekphsaeng
បែកពពុះ	baekpopuh
បែកពពុះមាត់	baekpopuhmoat
បែកពពុះស្កុល	baekpopuhskol
បែកពួក	baekpuok
បែកមាត់ចាប	baekmoatchab
បែកមុខបែកមាត់	baekmukhbaekmoat
បែកមេ	baekme
បែកមេក្រមី	baekmekrmi
បែកមែក	baekmeaek
បែកមែកបែកធាង	baekmeaekbaektheang
បែករម្ហាច	baekromhach
បែករំហាច	baekrumhach
បែករំហោច	baekrumhaoch
បែកសម្បុក	baeksambok
បែកសា	baeksa
បែកសាមគ្គី	baeksamkki
បែកសាយាមា	baeksayeamea
បែកសាយាមោ	baeksayeamou
បែកសំបុក	baeksambok
បែកស្រកា	baeksrka
បែកអារម្មណ៍	baekaarmmn
បែកអេក	baekaek
បែកអេកបែកខុន	baekaekbaekkhon
បែកអេកបែកម៉ាំ	baekaekbaekmoam
បែង	baeng
បែងក្រឡា	baengkrla
បែងចែក	baengchaek
បែងចែកប្រទេស	baengchaekbrtes
បែងចំណែក	baengchamnaek
បែងព្រះភ័ក្ត្រ	baengpreahphktr
បែងភាគ	baengpheak
បែងអារឹស	baengaarues
បែតា	baeta
បែន	baen
បែនស្រូវ	baensruv
បែប	baeb
បែបចង់	baebchang
បែបជា	baebchea
បែបដូចជា	baebdouchchea
បែបទ	baebt
បែបទ្រង់	baebtrng
បែបនេះ	baebneh
បែបបទ	baebbat
បែបផែន	baebphaen
បែបភាព	baebpheap
បែបយ៉ាង	baebyeang
បែបហ្នឹង	baebhnueng
បែរ	baer
បែរក្រោយ	baerkrouy
បែរខ្នង	baerkhnng
បែរចិត្ត	baerchett
បែរចេញ	baerchenh
បែរឆ្វេង	baerchhveng
បែរជា	baerchea
បែរបន់	baerban
បែរបែក	baerbaek
បែរព្រះនេត្រ	baerpreahnetr
បែរមក	baermok
បែរមុខ	baermukh
បែលក្រាត	baelkreat
បែលហ្សិក	baelhsek
បែលហ្ស៊ិក	baelhsik
បែះ	baeh
បៃ	bai
បៃដីកា	baideika
បៃតង	baitng
បៃតងក្រមៅ	baitngokrmov
បៃតងខ្ចី	baitngokhchei
បៃតងចាស់	baitngochas
បៃតងថ្មយក់	baitngothmyok
បៃតងភាវ	baitngopheav
បៃត្ចង	baitchng
បៃត្ឫក	baitruek
បៃមន	baimn
បៃមន់	baimn
បៃម៉ុន	baimun
បៃរកា	bairka
បៃរ៉ូត	bairut
បៃឝាចី	baishachei
បៃសាចី	baisachei
បៃឡី	bailei
បោ	bao
បោក	baok
បោកកង្កែប	baokkangkaeb
បោកខោអាវ	baokkhaoaav
បោកខៈរ៉ៈ	baokkhakreak
បោកខ្ជាក	baokkhcheak
បោកគក់	baokkok
បោកចំបាប់	baokchambab
បោកបក់	baokbak
បោកបញ្ឆោត	baokbanhchhaot
បោកបែន	baokbaen
បោកបោះ	baokbaoh
បោកប្រាក់គេ	baokbreakke
បោកប្រាស់	baokbreas
បោកសំពត់	baoksampt
បោកស្រូវ	baoksruv
បោកអ៊ុត	baokaut
បោក្ខរ	baokkhr
បោក្ខរណី	baokkhronei
បោក្ខរព័រ្ស	baokkhroprs
បោក្ខរព័ស៌	baokkhrops
បោង	baong
បោច	baoch
បោចរោច	baochrouch
បោចរោម	baochroum
បោចវល្លិ	baochvolli
បោចស្មៅ	baochsmov
បោប	baob
បោយ	baoy
បោយដៃ	baoydai
បោយបក់	baoybak
បោរ	baor
បោរមុខ	baormukh
បោរាណ	baorean
បោរាណា	baoreana
បោរាណាចារ្យ	baoreanachary
បោរាណានុបោរាណ	baoreananubaorean
បោរាណិក	baoreanek
បោរាណុបទេស	baoreanobtes
បោរី	baori
បោរីភាព	baoripheap
បោរីភាសា	baoripheasa
បោល	baol
បោលឆ្កឺត	baolchhkeut
បោលដាក់	baoldak
បោលប្លោត	baolblout
បោលសំដៅ	baolsamdau
បោស	baos
បោសក	baosk
បោសខ្ទេច	baoskhtech
បោសគូទទទេ	baoskuttote
បោសចង្រៃ	baoschangrey
បោសច្រាស	baoschreas
បោសជ្រះ	baoschreah
បោសនា	baosnea
បោសពីខ្លួន	baospikhluon
បោសលាន	baoslean
បោសសម្អាត	baossamaat
បោសសំអាត	baossamaat
បោសអង្អែល	baosaangaael
បោសិកា	baoseka
បោសិតព្វកិច្ច	baosetpvkechch
បោះ	baoh
បោះកំ	baohkam
បោះក្រចកសេះ	baohkrchakaseh
បោះគោល	baohkoul
បោះចោល	baohchaol
បោះឆ្នោត	baohchhnout
បោះឆ្នោតសកល	baohchhnoutsakal
បោះជោះ	baohchuoh
បោះជំរំ	baohchumrum
បោះជំហាន	baohchumhan
បោះដែកគោល	baohdaekkoul
បោះដៃ	baohdai
បោះដៃផុត	baohdaiphot
បោះតង់	baohtng
បោះតម្រុយ	baohtmruy
បោះតៅ	baohtau
បោះត្រល់	baohtrl
បោះត្រា	baohtrea
បោះត្រាក់	baohtreak
បោះត្រួយ	baohtruoy
បោះថ្នាំ	baohthnoam
បោះទង	baohtng
បោះទីតាំង	baohtitang
បោះទុន	baohtun
បោះទៅបោះមក	baohtovbaohmk
បោះទ័ព	baohtp
បោះនៅ	baohnov
បោះបង់	baohbng
បោះបង់ចោល	baohbngchaol
បោះបង់ចោលលែងរមិល	baohbngchaolleaengromil
បោះបង្គោល	baohbngkoul
បោះបោក	baohbaok
បោះប្រចាំនៅ	baohbrchamnov
បោះប្រជាមតិ	baohbrcheamte
បោះប្លោង	baohbloung
បោះផ្នោះក្រានជាប់	baohphnuohkreancheab
បោះផ្សាយ	baohphsay
បោះពាក្យ	baohpeaky
បោះពុម្ព	baohpump
បោះពួយ	baohpuoy
បោះព្រំ	baohprum
បោះព្រះសង្ហារ	baohpreahsnghar
បោះភ្ជាប់	baohphcheab
បោះមេ	baohme
បោះយុថ្កា	baohyuthka
បោះរ	baohr
បោះរាយប៉ាយ	baohreaybeay
បោះសន្ទូចកន្លងភ្នំ	baohsntuchkanlngophnum
បោះសន្ទូចរំលងភ្នំ	baohsntuchrumlngophnum
បោះសម្ដី	baohsmdei
បោះសម្តី	baohsmtei
បោះសោក	baohsaok
បោះសំដី	baohsamdei
បោះស៊ីគោល	baohsikoul
បោះស្នឹង	baohsnueng
បោះអង្គញ់	baohangknh
បោះឥដ្ឋ	baohedth
បោះឧស	baohus
បោ្លក	baolk
បោ្លកជ្រូក	baolkachruk
បោ្លកត្រី	baolkatri
បោ្លកនោម	baolkanoum
បោ្លង	baolng
បោ្លញ	baolnh
បោ្លត	baolt
បៅ	bau
បៅដោះ	baudaoh
បំណកស្រាយ	bamnkasreay
បំណង	bamnng
បំណងប្រាថ្នា	bamnngobreathnea
បំណង់	bamnng
បំណត់បង្ខាំ	bamntbngkham
បំណន់	bamnn
បំណាក់	bamnak
បំណាច	bamnach
បំណាច់	bamnach
បំណាច់តែ	bamnachtae
បំណាច់នឹង	bamnachnueng
បំណាត់	bamnaat
បំណាន	bamnan
បំណាន់	bamnan
បំណាំ	bamnam
បំណិត	bamnet
បំណិទ	bamnet
បំណិន	bamnen
បំណុល	bamnol
បំណើក	bamnaeuk
បំណេច	bamnech
បំណែ	bamnae
បំណែក	bamnaek
បំណែកខនិជ	bamnaekkhanich
បំណែកចាន	bamnaekchan
បំណែកផ្តិលខាត់	bamnaekphtelkhaat
បំណែកល្ង	bamnaeklng
បំណែង	bamnaeng
បំណែងចែក	bamnaengchaek
បំណែបំណុល	bamnaebamnol
បំណោក	bamnaok
បំណោម	bamnaom
បំណះ	bamnah
បំណះសំពត់	bamnahsampt
បំបង់	bambng
បំបង់បាយ	bambngbay
បំបត់	bambt
បំបត់បំបែន	bambtbambaen
បំបត់រទេះ	bambtrteh
បំបប	bambb
បំបរ	bambr
បំបរបង់	bambrobang
បំបាក់	bambak
បំបាក់កិត្ដិយស	bambakketdeys
បំបាក់កូនឲ្យខ្លាច	bambakkounaoykhleach
បំបាក់បំបប	bambakbambb
បំបាក់បំបែក	bambakbambaek
បំបាក់មុខ	bambakmukh
បំបាក់សេះ	bambakseh
បំបាក់ស្បាត	bambaksbat
បំបាក់ស្មារតី	bambaksmeartei
បំបាត់	bambaat
បំបាត់ក្រោធ	bambaatkrouth
បំបាត់ចោល	bambaatchaol
បំបាត់ដាន	bambaatdan
បំបាត់ទុក្ខ	bambaattukkh
បំបាត់ទ្រព្យគេ	bambaattrpyke
បំបាត់ពណ៌	bambaatpn
បំបាត់ភស្ដុតាង	bambaatphsdotang
បំបាត់មាត់	bambaatmoat
បំបាត់មុខ	bambaatmukh
បំបាត់រោគ	bambaatrouk
បំបាត់ស្នាម	bambaatsneam
បំបាន	bamban
បំបាំង	bambang
បំបាំងកាយ	bambangkay
បំបាំងបន្លំ	bambangbanlum
បំបាំងភ្នែក	bambangphneaek
បំបិទ	bambet
បំបិទដាន	bambetdan
បំបិទបំបាំង	bambetbambang
បំបិទផ្លូវ	bambetphluv
បំបិទមាត់	bambetmoat
បំបិទរឿង	bambetroeang
បំបិទសេចកី្ត	bambetsechkeit
បំបិទសេចក្ដី	bambetsechkdei
បំបួស	bambuos
បំបៀត	bambiet
បំបេ	bambe
បំបែក	bambaek
បំបែកចុងចោទ	bambaekchongchaot
បំបែកចេញ	bambaekchenh
បំបែកជួរ	bambaekchuor
បំបែកបំបាក់	bambaekbambak
បំបែកពួក	bambaekpuok
បំបែកលេខ	bambaeklekh
បំបែកសំណុំរឿង	bambaeksamnomroeang
បំបែកសំបុក	bambaeksambok
បំបែកហ្វូង	bambaekhvung
បំបែកអក្សរ	bambaekaaksr
បំបែង	bambaeng
បំបែន	bambaen
បំបែរ	bambaer
បំបែរចិត្ត	bambaerchett
បំបែរទិស	bambaertis
បំបែរបំបែក	bambaerbambaek
បំបែរសេចកី្ត	bambaersechkeit
បំបែរសេចក្ដី	bambaersechkdei
បំបោរ	bambaor
បំបោល	bambaol
បំបោស	bambaos
បំបៅ	bambau
បំបះ	bambah
បំបះបំបោរ	bambahbambaor
បំបះបំភ្លូក	bambahbamphluk
បំបះរទេះ	bambahrteh
បំប៉ន	bambn
បំប៉នកម្លាំង	bambnkamleang
បំប៉នចិត្ត	bambnchett
បំប៉នចំណី	bambnchamnei
បំប៉នបំពេញ	bambnbampenh
បំប៉នសាច់	bambnsach
បំប៉ាន់	bambean
បំប៉ឹម	bambuem
បំប៉ើង	bambeung
បំប៉ោង	bamboung
បំប៉ោងពាក្យ	bamboungpeaky
បំប៉ោងពោះ	bamboungpuoh
បំប៉ោងសម្ដី	bamboungsamdei
បំប៉ោល	bamboul
បំប៉ះ	bambeah
បំប៉ះបំពារ	bambeahbampear
បំប្រប	bambrb
បំប្រួញ	bambruonh
បំប្រួម	bambruom
បំប្រែ	bambreae
បំប្រៃ	bambrey
បំប្លាយ	bambleay
បំប្លេង	bambleng
បំប្លែង	bambleaeng
បំប្លែងប្រាក់	bambleaengbreak
បំប្លែងរូបរាង	bambleaengrubreang
បំប្លោង	bambloung
បំប្លោងដំណឹង	bambloungdamnoeng
បំផត	bampht
បំផតពោះ	bamphtapuoh
បំផាយ	bamphay
បំផឹក	bamphoek
បំផុង	bamphong
បំផុងគំនិត	bamphongkumnit
បំផុត	bamphot
បំផុតជើង	bamphotcheung
បំផុតស្បៀង	bamphotsbieng
បំផុយ	bamphoy
បំផុល	bamphol
បំផុលផេះ	bampholpheh
បំផុស	bamphos
បំផុសគំនិត	bamphoskumnit
បំផុសដី	bamphosdei
បំផុសបំផុល	bamphosbamphol
បំផុសប្រជាជន	bamphosbrcheachn
បំផុសសកម្មភាព	bamphossakammpheap
បំផុសស្មារតី	bamphossmeartei
បំផូរ	bamphour
បំផូរអុត	bamphouraot
បំផើម	bamphaeum
បំផ្ទុះ	bamphtuh
បំផ្លាង	bamphleang
បំផ្លាញ	bamphleanh
បំផ្លាយ	bamphleay
បំផ្លាស់	bamphleas
បំផ្លិច	bamphlich
បំផ្លើស	bamphleus
បំផ្លើសពាក្យ	bamphleuspeaky
បំផ្លើសសេចកី្ត	bamphleussechkeit
បំព	bamp
បំពក់	bampk
បំពក់កំហឹង	bampkkamhoeng
បំពក់ភ្លើង	bampkphleung
បំពក់មូស	bampkmus
បំពក់សេចក្ដីក្រោធ	bampksechkdeikrouth
បំពង	bampng
បំពងញ៉ាំលេង	bampngonhoamleng
បំពងសម្លេង	bampngosamleng
បំពង់	bampng
បំពង់ក	bampngk
បំពង់កក្នុង	bampngkknung
បំពង់កក្រៅ	bampngkkrov
បំពង់កឈរ	bampngkchhor
បំពង់កដេក	bampngkdek
បំពង់ករឿង	bampngkroeang
បំពង់ខារ	bampngkhar
បំពង់ខ្យល់	bampngkhyl
បំពង់ចក្រ	bampngchkr
បំពង់ជម្រះ	bampngchmreah
បំពង់ត្នោត	bampngtnout
បំពង់ទឹកក្ដៅ	bampngtuekkdau
បំពង់បឺត	bampngbeut
បំពង់ផ្សែង	bampngphsaeng
បំពង់ព្រួញ	bampngpruonh
បំពង់ភ្លើងកប៉ាល់	bampngphleungkabeal
បំពង់ម្ជុល	bampngmchul
បំពង់រឿង	bampngroeang
បំពង់សម្លេង	bampngsmleng
បំពង់សួត	bampngsuot
បំពង់អាហារ	bampngaahar
បំពត់	bampt
បំពម	bampm
បំពមបាយ	bampmobay
បំពាក់	bampeak
បំពាក់គ្រឿងសង្ហារឹម	bampeakkroeangsangharuem
បំពាក់បង្ហៀរ	bampeakbnghier
បំពាក់បំប៉ន	bampeakbambn
បំពាក់បំព័ន្ធ	bampeakbampnth
បំពាក់ពណ៌	bampeakpn
បំពាក់សន្លុង	bampeaksnlung
បំពាក់ស័ក្ដិ	bampeakskde
បំពាក់ស័ក្តិ	bampeakskte
បំពាក់អាវុធ	bampeakaavuth
បំពាន	bampean
បំពានច្បាប់	bampeanchbab
បំពានបំពារ	bampeanbampear
បំពានព្រំដីគេ	bampeanprumdeike
បំពាន់	bampean
បំពារ	bampear
បំពារបំពាន	bampearbampean
បំពាំ	bampoam
បំពាំង	bampeang
បំពាំងទ្វារ	bampeangtvear
បំពាំពាក្យ	bampoampeaky
បំពាំសេចកី្ត	bampoamsechkeit
បំពាំសេចក្ដី	bampoamsechkdei
បំពុង	bampung
បំពុល	bampul
បំពុលចិត្ត	bampulchett
បំពុលបរិស្ថាន	bampulbaristhan
បំពុលវប្បធម៌	bampulvobbthom
បំពុលសង្គម	bampulsangkm
បំពួន	bampuon
បំពួនស្ករ	bampuonskr
បំពើង	bampeung
បំពើងទ្រូង	bampeungtrung
បំពើត	bampeut
បំពើតបំពើង	bampeutbampeung
បំពៀច	bampiech
បំពេ	bampe
បំពេកូន	bampekoun
បំពេញ	bampenh
បំពេញកម្លាំង	bampenhkamleang
បំពេញការងារ	bampenhkarngear
បំពេញចិត្ត	bampenhchett
បំពេញឈ្មោះ	bampenhchhmuoh
បំពេញទុក្ខ	bampenhtukkh
បំពេញបន្ថែម	bampenhbanthaem
បំពេញបេសកកម្ម	bampenhbeskakamm
បំពេញបែបបទ	bampenhbaebbat
បំពេញបំបាន	bampenhbamban
បំពេញបំប៉ន	bampenhbambn
បំពេញព្រះផ្នួស	bampenhpreahphnuos
បំពេញភារកិច្ច	bampenhphearkechch
បំពេញភារៈ	bampenhpheareak
បំពេញមុខ	bampenhmukh
បំពេញមុខការ	bampenhmukhkar
បំពេញរាជ្យ	bampenhreachy
បំពេញវិជ្ជា	bampenhvichchea
បំពេញសេចកី្ត	bampenhsechkeit
បំពេញសេចក្ដី	bampenhsechkdei
បំពេញសំណុំរឿង	bampenhsamnomroeang
បំពេន	bampen
បំពេរកូន	bamperkoun
បំពោក	bampouk
បំពោកថ្នាំ	bampoukthnoam
បំពោត	bampout
បំពោប	bampoub
បំពោរ	bampour
បំពោរទឹក	bampourtuek
បំព័ទ្ធ	bamptth
បំព្រង	bamprng
